AIRPORT,Latitude,Longitude,Year,Month,Dom_Flight_In,Dom_Flight_Out,Int_Flight_In,Int_Flight_Out
MELBOURNE,-37.663712,144.844788,2017,9,1047892,1061680,428355,438578
MELBOURNE,-37.663712,144.844788,2017,10,1156852,1133498,486720,396510
MELBOURNE,-37.663712,144.844788,2017,11,1115131,1106079,419680,431707
MELBOURNE,-37.663712,144.844788,2017,12,1083418,1118622,478099,537167
MELBOURNE,-37.663712,144.844788,2018,1,1109308,1061660,547626,473098
MELBOURNE,-37.663712,144.844788,2018,2,968029,959519,469329,401858
MELBOURNE,-37.663712,144.844788,2018,3,1098311,1128272,445563,464345
MELBOURNE,-37.663712,144.844788,2018,4,1084246,1051772,453020,441242
MELBOURNE,-37.663712,144.844788,2018,5,1000156,1007655,387395,413425
MELBOURNE,-37.663712,144.844788,2018,6,962605,1010009,410590,492367
MELBOURNE,-37.663712,144.844788,2018,7,1149198,1116250,538582,455634
MELBOURNE,-37.663712,144.844788,2018,8,1074421,1068580,464566,473550
MELBOURNE,-37.663712,144.844788,2018,9,1057707,1073931,471762,479739
MELBOURNE,-37.663712,144.844788,2018,10,1166132,1142931,523788,436520
MELBOURNE,-37.663712,144.844788,2018,11,1117298,1107531,461965,473126
MELBOURNE,-37.663712,144.844788,2018,12,1066835,1110389,481836,562958
MELBOURNE,-37.663712,144.844788,2019,1,1121723,1066341,568799,501288
MELBOURNE,-37.663712,144.844788,2019,2,981359,971364,483548,405796
MELBOURNE,-37.663712,144.844788,2019,3,1086603,1092582,441993,443824
MELBOURNE,-37.663712,144.844788,2019,4,1087004,1087168,454777,480480
MELBOURNE,-37.663712,144.844788,2019,5,1010459,1006610,414406,429113
MELBOURNE,-37.663712,144.844788,2019,6,944965,1000243,413493,488023
MELBOURNE,-37.663712,144.844788,2019,7,1142322,1109884,532482,460719
MELBOURNE,-37.663712,144.844788,2019,8,1080083,1074712,469163,473554
MELBOURNE,-37.663712,144.844788,2019,9,1069451,1092161,459116,468307
MELBOURNE,-37.663712,144.844788,2019,10,1187346,1159072,504030,427549
MELBOURNE,-37.663712,144.844788,2019,11,1122505,1098922,460493,466560
MELBOURNE,-37.663712,144.844788,2019,12,1084222,1138546,495779,575352
MELBOURNE,-37.663712,144.844788,2020,1,1116371,1053603,581276,514803
MELBOURNE,-37.663712,144.844788,2020,2,921157,934726,408642,334254
MELBOURNE,-37.663712,144.844788,2020,3,624922,619391,244268,227490
MELBOURNE,-37.663712,144.844788,2020,4,20061,21697,5448,12355
MELBOURNE,-37.663712,144.844788,2020,5,29128,28400,5643,9003
MELBOURNE,-37.663712,144.844788,2020,6,60190,62328,6431,9456
MELBOURNE,-37.663712,144.844788,2020,7,29537,31636,49,12705
MELBOURNE,-37.663712,144.844788,2020,8,6854,13444,0,14761
SYDNEY,-33.947346,151.179428,2017,1,1127330,1128197,835438,724531
SYDNEY,-33.947346,151.179428,2017,2,1029813,1028231,655651,570218
SYDNEY,-33.947346,151.179428,2017,3,1174197,1156629,614723,629062
SYDNEY,-33.947346,151.179428,2017,4,1120311,1122762,664691,681401
SYDNEY,-33.947346,151.179428,2017,5,1095571,1085506,562979,593638
SYDNEY,-33.947346,151.179428,2017,6,1060307,1056841,569557,673314
SYDNEY,-33.947346,151.179428,2017,7,1180867,1187367,760491,662542
SYDNEY,-33.947346,151.179428,2017,8,1125981,1110360,644683,655860
SYDNEY,-33.947346,151.179428,2017,9,1120569,1149275,657428,669922
SYDNEY,-33.947346,151.179428,2017,10,1234112,1210014,727017,618485
SYDNEY,-33.947346,151.179428,2017,11,1206765,1204038,644589,666967
SYDNEY,-33.947346,151.179428,2017,12,1186961,1189870,720485,834514
SYDNEY,-33.947346,151.179428,2018,1,1153562,1141771,852699,733634
SYDNEY,-33.947346,151.179428,2018,2,1065983,1071878,696311,617701
SYDNEY,-33.947346,151.179428,2018,3,1207474,1205485,676261,692921
SYDNEY,-33.947346,151.179428,2018,4,1164271,1149887,672810,700606
SYDNEY,-33.947346,151.179428,2018,5,1115328,1093690,605693,624178
SYDNEY,-33.947346,151.179428,2018,6,1075953,1052376,592992,702206
SYDNEY,-33.947346,151.179428,2018,7,1185423,1217202,793662,696321
SYDNEY,-33.947346,151.179428,2018,8,1169183,1156881,675440,686667
SYDNEY,-33.947346,151.179428,2018,9,1127214,1132581,672762,684833
SYDNEY,-33.947346,151.179428,2018,10,1241043,1241669,779641,656652
SYDNEY,-33.947346,151.179428,2018,11,1190236,1191362,663086,684189
SYDNEY,-33.947346,151.179428,2018,12,1155410,1161411,734848,866372
SYDNEY,-33.947346,151.179428,2019,1,1151296,1138031,887489,768912
SYDNEY,-33.947346,151.179428,2019,2,1041047,1041948,707952,612960
SYDNEY,-33.947346,151.179428,2019,3,1168035,1163665,656438,672111
SYDNEY,-33.947346,151.179428,2019,4,1143091,1140011,681293,719809
SYDNEY,-33.947346,151.179428,2019,5,1112636,1105077,641103,658543
SYDNEY,-33.947346,151.179428,2019,6,1056674,1037459,609046,697055
SYDNEY,-33.947346,151.179428,2019,7,1179466,1208057,758328,692756
SYDNEY,-33.947346,151.179428,2019,8,1154302,1141216,688054,695834
SYDNEY,-33.947346,151.179428,2019,9,1138830,1146456,668842,689778
SYDNEY,-33.947346,151.179428,2019,10,1276535,1267353,759129,665258
SYDNEY,-33.947346,151.179428,2019,11,1190189,1188233,677641,682256
SYDNEY,-33.947346,151.179428,2019,12,1167955,1180842,728207,871647
SYDNEY,-33.947346,151.179428,2020,1,1142353,1131604,877231,775800
SYDNEY,-33.947346,151.179428,2020,2,1003957,983714,595097,506896
SYDNEY,-33.947346,151.179428,2020,3,657237,661525,341102,344459
SYDNEY,-33.947346,151.179428,2020,4,28082,20096,7751,33619
SYDNEY,-33.947346,151.179428,2020,5,33504,28774,10119,20218
SYDNEY,-33.947346,151.179428,2020,6,74605,65547,12537,21934
SYDNEY,-33.947346,151.179428,2020,7,134227,140497,12877,29798
SYDNEY,-33.947346,151.179428,2020,8,55176,35022,9825,28770
